Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-09 15:28:55,2018-05-09 15:30:05,1m - 10.006s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:28:56,2018-05-09 15:29:17,21.049s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:28:57,2018-05-09 15:29:01,4.581s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:29:01,2018-05-09 15:29:15,13.799s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:29:15,2018-05-09 15:29:16,0.528s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:29:16,2018-05-09 15:29:16,0.198s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:29:16,2018-05-09 15:29:16,0.155s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:29:16,2018-05-09 15:29:16,0.121s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:29:16,2018-05-09 15:29:17,0.979s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:29:17,2018-05-09 15:29:40,22.935s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:29:17,2018-05-09 15:29:19,2.320s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:29:19,2018-05-09 15:29:37,17.945s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:29:37,2018-05-09 15:29:38,0.858s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:29:38,2018-05-09 15:29:39,0.554s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:29:39,2018-05-09 15:29:39,0.168s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:29:39,2018-05-09 15:29:39,0.109s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:29:39,2018-05-09 15:29:40,0.946s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:29:40,2018-05-09 15:30:05,25.239s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:29:40,2018-05-09 15:29:43,2.450s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:29:43,2018-05-09 15:30:04,21.202s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:30:04,2018-05-09 15:30:04,0.276s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:30:04,2018-05-09 15:30:04,0.178s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:30:04,2018-05-09 15:30:04,0.164s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:30:04,2018-05-09 15:30:04,0.082s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:30:04,2018-05-09 15:30:05,0.823s,PASSED
